"name","url","id"
"

""Erhalt der Institution"" / Kultkneipe Jazz-Galerie","https://www.openpetition.de/petition/online/erhalt-der-institution-kultkneipe-jazz-galerie",111
"

Zeitarbeit verbieten - Sie dient nur der Ausbeutung","https://www.openpetition.de/petition/online/zeitarbeit-verbieten-sie-dient-nur-der-ausbeutung",112
"

Kosovaren kämpfen gegen Einbürgerungshürden in Bayern und Sachsen","https://www.openpetition.de/petition/online/kosovaren-kaempfen-gegen-einbuergerungshuerden-in-bayern-und-sachsen",113
"

Umsetzung in allen Schulen, vorzugsweise in der Grundschule, Unterricht auf Haustierbetreuung","https://www.openpetition.de/petition/online/umsetzung-in-allen-schulen-vorzugsweise-in-der-grundschule-unterricht-auf-haustierbetreuung",114
"

Wir wollen unseren Hundestrand zurück -Keine Leinenpflicht! (Cuxhaven Sahlenburg)","https://www.openpetition.de/petition/online/wir-wollen-unseren-hundestrand-zurueck-cuxhaven-sahlenburg",115
"

Stoppt den geplanten Abriss der Offizierssiedlung in Mannheim-Käfertal - Part II","https://www.openpetition.de/petition/online/stoppt-den-geplanten-abriss-der-offizierssiedlung-in-mannheim-kaefertal-part-ii",116
"

Abstellen der Ampelanlage am Opel-Kreisel","https://www.openpetition.de/petition/online/abstellen-der-ampelanlage-am-opel-kreisel",117
"

Petition zur Verhinderung der Abschiebung der Familie Korreshi","https://www.openpetition.de/petition/online/petition-zur-verhinderung-der-abschiebung-der-familie-korreshi",118
"

Keine Windkraft im Emmertal","https://www.openpetition.de/petition/online/keine-windkraft-im-emmerthal",119
"

Bleiberecht für alle Musiker des Roma Balkan Express!","https://www.openpetition.de/petition/online/bleiberecht-fuer-alle-musiker-des-roma-balkan-express",120
"

Petition gegen die Abordnungen der Sonderpädadogen an der Gemeinschaftsgrundschule Hebbelstraße","https://www.openpetition.de/petition/online/petition-gegen-die-abordnungen-der-sonderpaedadogen-an-der-gemeinschaftsgrundschule-hebbelstrasse",121
"

Für den Erhalt der gebundenen Ganztagsschule in Stuttgart-Süd","https://www.openpetition.de/petition/online/fuer-den-erhalt-der-gebundenen-ganztagsschule-in-stuttgart-sued",122
"

Umsetzung einer Katzenschutzverordnung für den Landkreis Neuwied","https://www.openpetition.de/petition/online/umsetzung-einer-katzenschutzverordnung-fuer-den-landkreis-neuwied",123
"

Sigmar Gabriel, bitte finden Sie eine soziale Lösung und retten Sie 16.000 Arbeitsplätze!","https://www.openpetition.de/petition/online/sigmar-gabriel-bitte-finden-sie-eine-soziale-loesung-und-retten-sie-16-000-arbeitsplaetze",124
"

Doberschwitzer Legebatterie stoppen, keine  Subventionsgelder für Massentierhaltungsanlagen","https://www.openpetition.de/petition/online/industrielle-massentierhaltung-stoppen-keine-subventionsgelder-mehr-fuer-solche-anlagen",125
"

Sammy Will zu seinem Herrchen  Maik Wiedow Zurück","https://www.openpetition.de/petition/online/sammy-will-zu-sein-besitzern-maik-wiedow-zurueck",126
"

Zukunft des Universitätssports","https://www.openpetition.de/petition/online/zukunft-vom-unisportzentrum-fitness-und-kraftsport",127
"

Gegen die Stromtrasse SuedLink in Schauenburg","https://www.openpetition.de/petition/online/gegen-die-stromtrasse-suedlink-in-schauenburg",128
"

Krankenhaus-Reform? So nicht!","https://www.openpetition.de/petition/online/krankenhaus-reform-so-nicht",129
"

Elektrosensible schützen !  Nicht alle Funklöcher schließen !","https://www.openpetition.de/petition/online/nicht-alle-funkloecher-schliessen-ausnahmen-fuer-elektrosensible-belassen",130
"

Legale Zugangswege in die EU schaffen - Inhaftierung, Abschiebung und das Sterben verhindern!","https://www.openpetition.de/petition/online/legale-zugangswege-in-die-eu-schaffen-inhaftierung-abschiebung-und-das-sterben-verhindern",131
